Wavelength;Healthy_Maize;Stressed_Maize;Healthy_Sugar_bean;Stressed_Sugar_bean;Healthy_cabbage;Stressed_Cabbage_S1
380;0,014025044;0,016683519;0,006216929;0,007735178;0,008893861;0,01389983
381;0,013989527;0,016641269;0,006216929;0,007735178;0,008893461;0,013899206
382;0,014078321;0,016746894;0,006216929;0,007735178;0,008917342;0,013936528
383;0,014211512;0,016905332;0,006216929;0,007735178;0,008966814;0,014013846
384;0,014187094;0,016876285;0,006151716;0,00765404;0,009043937;0,014134378
385;0,014264789;0,016968707;0,006233232;0,007755462;0,009152504;0,014304052
386;0,014364682;0,017087536;0,006296633;0,007834347;0,009292298;0,014522531
387;0,014284767;0,016992473;0,006276707;0,007809554;0,009465639;0,014793438
388;0,014284767;0,016992473;0,006320182;0,007863647;0,009671408;0,015115026
389;0,014284767;0,016992473;0,006408944;0,007974085;0,009906937;0,015483123
390;0,014284767;0,016992473;0,006524877;0,008118331;0,010177006;0,015905202
391;0,014284767;0,016992473;0,006649868;0,008273845;0,010491532;0,016396761
392;0,014284767;0,016992473;0,006765801;0,008418091;0,010868046;0,0169852
393;0,014284767;0,016992473;0,006854563;0,008528529;0,01132656;0,017701791
394;0,014284767;0,016992473;0,006898038;0,008582621;0,011890831;0,018583665
395;0,014284767;0,016992473;0,007042955;0,008762929;0,012579674;0,019660228
396;0,014284767;0,016992473;0,007059258;0,008783213;0,013393243;0,020931721
397;0,014284767;0,016992473;0,006994045;0,008702075;0,014333231;0,022400787
398;0,014284767;0,016992473;0,006994045;0,008702075;0,015376582;0,024031395
399;0,014284767;0,016992473;0,006994045;0,008702075;0,016485539;0,025764535
400;0,014284767;0,016992473;0,006994045;0,008702075;0,017628984;0,027551577
401;0,014204853;0,01689741;0,006994045;0,008702075;0,018762175;0,029322591
402;0,014224831;0,016921176;0,006994045;0,008702075;0,01985156;0,031025145
403;0,014322505;0,017037364;0,006928833;0,008620937;0,020883267;0,032637555
404;0,014475675;0,017219567;0,006945136;0,008641221;0,021850923;0,034149863
405;0,014662143;0,01744138;0,00702484;0,00874039;0,022767614;0,035582519
406;0,01485971;0,017676397;0,007149831;0,008895905;0,02366164;0,036979754
407;0,014966263;0,017803147;0,007301993;0,009085228;0,024567505;0,038395491
408;0,015139412;0,018009116;0,007463213;0,009285819;0,025504333;0,039859618
409;0,015334759;0,018241492;0,007615376;0,009475142;0,02649352;0,041405576
410;0,015507907;0,018447462;0,007740366;0,009630657;0,027546185;0,043050742
411;0,015614461;0,018574212;0,007754858;0,009648688;0,028641713;0,044762895
412;0,015732113;0,018714165;0,007787464;0,009689257;0,02975967;0,046510102
413;0,015938559;0,018959744;0,007801956;0,009707287;0,030883669;0,048266751
414;0,016189403;0,019258136;0,007926947;0,009862802;0,03200146;0,050013698
415;0,016440247;0,019556527;0,008079109;0,010052125;0,033103856;0,051736585
416;0,016646693;0,019802106;0,008240329;0,010252717;0,034185284;0,053426702
417;0,016684431;0,019846997;0,008392492;0,010442039;0,035247072;0,055086124
418;0,016890877;0,020092576;0,00845227;0,010516416;0,036294244;0,056722704
419;0,017141721;0,020390967;0,008548277;0,010635869;0,037332686;0,058345641
420;0,017392564;0,020689359;0,008644285;0,010755323;0,038355061;0,059943466
421;0,017519096;0,020839875;0,008704063;0,0108297;0,039335013;0,06147499
422;0,017656727;0,021003594;0,008856225;0,011019022;0,040237739;0,062885822
